description,date,organisation,location,link
"PostGIS Essentials","26 - 27 September 2017","Astun Technology","Epsom, Surrey","https://astuntechnology.com/postgis-training-modules/"
"Python Essentials","3 October 2017","Astun Technology","Epsom, Surrey","https://astuntechnology.com/python-training/"
"Python for QGIS","4 October 2017","Astun Technology","Epsom, Surrey","https://astuntechnology.com/python-training/"
"PostGIS Database Administration","10 October 2017","Astun Technology","Epsom, Surrey","https://astuntechnology.com/postgis-training-modules/"
"Introduction to QGIS: Understanding and Presenting Spatial Data","20 November 2017","Clear Mapping Co","University of Liverpool, Liverpool","http://bit.ly/2tpPnuK"
"Introduction to Spatial Data & Using R as a GIS","21 November 2017","Clear Mapping Co","University of Liverpool, Liverpool","http://bit.ly/2sq12IG"
"Introduction to Spatial Data & Using R as a GIS","1 December 2017","Clear Mapping Co","Saïd Business School, University of Oxford, Oxford","http://bit.ly/2sMdCS1"
"Introduction to QGIS: Understanding and Presenting Spatial Data","15 January 2018","University of Southampton, Southampton","Clear Mapping Co","http://bit.ly/2qMrm2q"
"Introduction to Spatial Data & Using R as a GIS","16 January 2018","Clear Mapping Co","University of Southampton, Southampton","http://bit.ly/2hNq57p"
"Confident Spatial Analysis","17 January 2019","Clear Mapping Co","University of Southampton, Southampton","http://bit.ly/2hNhBNy"
